dataset,mechanism,methodology,model_type,train_pct,avg_f1,f1_std
pubmed,SAR,two_nnif,MLP,0.5,0.7533924128091984,0.002595489
pubmed,SAR,two_nnif,GATConv,0.5,0.7821143559848414,0.004885909
pubmed,SAR,two_nnif,GCNConv,0.5,0.7807995893149428,0.00367642
pubmed,SAR,spy,MLP,0.5,0.7177616519839314,0.00401459
pubmed,SAR,spy,GATConv,0.5,0.774216436,0.002162118
pubmed,SAR,spy,GCNConv,0.5,0.7747541293019827,0.004750484
pubmed,SAR,nnpu,MLP,0.5,0.5344129823351197,0.03354952
pubmed,SAR,nnpu,GATConv,0.5,0.631162591,0.030675035
pubmed,SAR,nnpu,GCNConv,0.5,0.6096370132822593,0.011703276
pubmed,SAR,imbnnpu,MLP,0.5,0.6402644681560661,0.011051657
pubmed,SAR,imbnnpu,GATConv,0.5,0.6871320249544596,0.008268321
pubmed,SAR,imbnnpu,GCNConv,0.5,0.6951308971027015,0.004929464
wiki-cs,SCAR,naive,MLP,0.5,0.1566892792654197,0.022881257
wiki-cs,SCAR,naive,GATConv,0.5,0.3991551610278896,0.076047886
wiki-cs,SCAR,naive,GCNConv,0.5,0.4727892080290254,0.017321372
wiki-cs,SCAR,NNIF,NNIF+XGBoost,0.5,0.7589351557358647,0.006684327
wiki-cs,SCAR,two_nnif,MLP,0.5,0.7546329296598636,0.00785511
wiki-cs,SCAR,two_nnif,GATConv,0.5,0.8125951381016099,0.004615821
wiki-cs,SCAR,two_nnif,GCNConv,0.5,0.8294472739361218,0.004571148
wiki-cs,SCAR,spy,MLP,0.5,0.6836365806873916,0.010823334
wiki-cs,SCAR,spy,GATConv,0.5,0.7869593507352324,0.010823969
wiki-cs,SCAR,spy,GCNConv,0.5,0.7853676812719985,0.017799953
