dataset,mechanism,methodology,model_type,train_pct,avg_f1,std_f1,K,layers,hidden,out_channels,batch_size,ratio
cora,SAR,nnpu,MLP,0.5,0.6704820169155281,0.006573961522574296,1,2,16,1,2048,0.23843599999999998
cora,SAR,nnpu,GATConv,0.5,0.7830171389748096,0.013266973837164533,1,2,16,1,2048,0.23843599999999998
cora,SAR,nnpu,GCNConv,0.5,0.8086028530743524,0.016715011834631078,1,2,16,1,2048,0.23843599999999998
cora,SAR,nnpu,MLP,0.4,0.6790147629160798,0.014957766618310131,1,2,16,1,2048,0.2646019674059139
cora,SAR,nnpu,GATConv,0.4,0.8143374748554505,0.011199761080427846,1,2,16,1,2048,0.2646019674059139
cora,SAR,nnpu,GCNConv,0.4,0.837573963691162,0.011931420362166267,1,2,16,1,2048,0.2646019674059139
cora,SAR,nnpu,MLP,0.3,0.666503469887168,0.009080276867310477,1,2,16,1,2048,0.2890296288475595
cora,SAR,nnpu,GATConv,0.3,0.8242023632843442,0.01236983159720138,1,2,16,1,2048,0.2890296288475595
cora,SAR,nnpu,GCNConv,0.3,0.8451771183146735,0.011607014528546787,1,2,16,1,2048,0.2890296288475595
cora,SAR,nnpu,MLP,0.2,0.6515137192121162,0.01523138152477614,1,2,16,1,2048,0.31188663889325574
cora,SAR,nnpu,GATConv,0.2,0.7938317698052275,0.022856773687318328,1,2,16,1,2048,0.31188663889325574
cora,SAR,nnpu,GCNConv,0.2,0.8350284969505719,0.010553389207062608,1,2,16,1,2048,0.31188663889325574
cora,SAR,imbnnpu,MLP,0.5,0.5852971940378809,0.018185853555746707,1,2,16,1,2048,0.23843599999999998
cora,SAR,imbnnpu,GATConv,0.5,0.815858668847072,0.009051757626197294,1,2,16,1,2048,0.23843599999999998
cora,SAR,imbnnpu,GCNConv,0.5,0.8373519401003208,0.014175739839355503,1,2,16,1,2048,0.23843599999999998
cora,SAR,imbnnpu,MLP,0.4,0.532977257568563,0.021346250981544874,1,2,16,1,2048,0.2646019674059139
cora,SAR,imbnnpu,GATConv,0.4,0.7938571043525446,0.023152143176427335,1,2,16,1,2048,0.2646019674059139
cora,SAR,imbnnpu,GCNConv,0.4,0.8393937849774608,0.013082137946536126,1,2,16,1,2048,0.2646019674059139
cora,SAR,imbnnpu,MLP,0.3,0.4378858137602012,0.023845709042369583,1,2,16,1,2048,0.2890296288475595
cora,SAR,imbnnpu,GATConv,0.3,0.7425736762963246,0.02951296726443309,1,2,16,1,2048,0.2890296288475595
cora,SAR,imbnnpu,GCNConv,0.3,0.8121386439639874,0.013600925649517938,1,2,16,1,2048,0.2890296288475595
cora,SAR,imbnnpu,MLP,0.2,0.33057619289170537,0.01947787817734588,1,2,16,1,2048,0.31188663889325574
cora,SAR,imbnnpu,GATConv,0.2,0.6089938193723923,0.058017074593209525,1,2,16,1,2048,0.31188663889325574
cora,SAR,imbnnpu,GCNConv,0.2,0.7672137996777806,0.013587946639434184,1,2,16,1,2048,0.31188663889325574
cora,SAR,ours,GCNConv,0.5,0.7924193381149574,0.014140970328135879,17,2,256,256,2048,0.23843599999999998
cora,SAR,ours,GCNConv,0.4,0.7945595073537578,0.004815812509053494,17,2,256,256,2048,0.2646019674059139
cora,SAR,ours,GCNConv,0.3,0.7514496401302401,0.016079531525171713,17,2,256,256,2048,0.2890296288475595
cora,SAR,ours,GCNConv,0.2,0.6548215031759248,0.03457991887469593,17,2,256,256,2048,0.31188663889325574
