dataset,mechanism,methodology,model_type,ratio_multiplier,avg_f1,std_f1
wiki-cs,SAR,nnpu,MLP,1.5,0.5691041260736497,0.008046713976702442
wiki-cs,SAR,nnpu,GATConv,1.5,0.5467836712263895,0.021848001803760803
wiki-cs,SAR,nnpu,GCNConv,1.5,0.5809133129499363,0.00364224388160379
wiki-cs,SAR,imbnnpu,MLP,1.5,0.7500697360854387,0.0029233459378705637
wiki-cs,SAR,imbnnpu,GATConv,1.5,0.7471102929557952,0.04587909733897611
wiki-cs,SAR,imbnnpu,GCNConv,1.5,0.8050344771889311,0.007613576680406088
wiki-cs,SAR,ours,GCNConv,1.5,0.0,0.0
wiki-cs,SAR,NNIF,MLP,1.75,0.0,0.0
wiki-cs,SAR,two_nnif,MLP,1.75,0.0,0.0
wiki-cs,SAR,two_nnif,GATConv,1.75,0.0,0.0
wiki-cs,SAR,two_nnif,GCNConv,1.75,0.0,0.0
wiki-cs,SAR,nnpu,MLP,1.75,0.49308250039279605,0.004265093251718452
wiki-cs,SAR,nnpu,GATConv,1.75,0.5148665738882329,0.020709646232368737
wiki-cs,SAR,nnpu,GCNConv,1.75,0.5292316896732272,0.007716325933151893
wiki-cs,SAR,imbnnpu,MLP,1.75,0.7499926198999934,0.0031398358855908508
wiki-cs,SAR,imbnnpu,GATConv,1.75,0.745122315486467,0.04879700903575155
wiki-cs,SAR,imbnnpu,GCNConv,1.75,0.8049902871045548,0.007674256470807003
wiki-cs,SAR,ours,GCNConv,1.75,0.0,0.0
wiki-cs,SAR,NNIF,MLP,2.0,0.0,0.0
wiki-cs,SAR,two_nnif,MLP,2.0,0.0,0.0
wiki-cs,SAR,two_nnif,GATConv,2.0,0.0,0.0
wiki-cs,SAR,two_nnif,GCNConv,2.0,0.0,0.0
wiki-cs,SAR,nnpu,MLP,2.0,0.4484212052202354,0.006103967861488667
wiki-cs,SAR,nnpu,GATConv,2.0,0.46063226002151936,0.022642189269964395
wiki-cs,SAR,nnpu,GCNConv,2.0,0.4813196083528634,0.012507465421790976
wiki-cs,SAR,imbnnpu,MLP,2.0,0.7499926198999934,0.0031398358855908508
wiki-cs,SAR,imbnnpu,GATConv,2.0,0.747077261619585,0.048228328010905014
wiki-cs,SAR,imbnnpu,GCNConv,2.0,0.8049902871045548,0.007674256470807003
wiki-cs,SAR,ours,GCNConv,2.0,0.0,0.0
