dataset,mechanism,methodology,model_type,ratio_multiplier,avg_f1,std_f1
cora,SAR,imbnnpu,GCNConv,1,0.8374342893068736,0.016998336
cora,SAR,ours,GCNConv,1,0.7886538434998549,0.018010252013346054
cora,SAR,NNIF,MLP,1.25,0.4767691188858729,0.059349049
cora,SAR,two_nnif,MLP,1.25,0.3832603858338753,0.016872116039646997
cora,SAR,two_nnif,GATConv,1.25,0.6843649359369706,0.034705227
cora,SAR,two_nnif,GCNConv,1.25,0.614412876,0.026182642077414022
cora,SAR,nnpu,MLP,1.25,0.6242889046023316,0.009061627
cora,SAR,nnpu,GATConv,1.25,0.729015032,0.018617289093807568
cora,SAR,nnpu,GCNConv,1.25,0.7368193646637455,0.002333436
cora,SAR,imbnnpu,MLP,1.25,0.5813170529998339,0.019824164226115788
cora,SAR,imbnnpu,GATConv,1.25,0.8212847642442572,0.007679106
cora,SAR,imbnnpu,GCNConv,1.25,0.8374342893068736,0.016998336
cora,SAR,ours,GCNConv,1.25,0.806920444,0.019587027
cora,SAR,NNIF,MLP,1.5,0.5267430057547847,0.030684676
cora,SAR,two_nnif,MLP,1.5,0.49700405513664014,0.027548153
cora,SAR,two_nnif,GATConv,1.5,0.6886226979106699,0.055266486
cora,SAR,two_nnif,GCNConv,1.5,0.7358863127604222,0.034352371
cora,SAR,nnpu,MLP,1.5,0.5758670860516164,0.014422367338757703
cora,SAR,nnpu,GATConv,1.5,0.6610451491437761,0.023708868192567425
cora,SAR,nnpu,GCNConv,1.5,0.6493806656977136,0.00113356
cora,SAR,imbnnpu,MLP,1.5,0.5827020593788034,0.023951192331930923
cora,SAR,imbnnpu,GATConv,1.5,0.8207655498819189,0.008345633
cora,SAR,imbnnpu,GCNConv,1.5,0.8374342893068736,0.016998336
cora,SAR,ours,GCNConv,1.5,0.7970772733589087,0.011394756070340543
cora,SAR,NNIF,MLP,1.75,0.5353435708236519,0.017660976
cora,SAR,two_nnif,MLP,1.75,0.5122999933100466,0.004851039
cora,SAR,two_nnif,GATConv,1.75,0.7016808490403608,0.019520125
cora,SAR,two_nnif,GCNConv,1.75,0.7565803275606887,0.010275606104498927
cora,SAR,nnpu,MLP,1.75,0.5309430622462971,0.00536089
cora,SAR,nnpu,GATConv,1.75,0.5787712522073564,0.051398121719277066
cora,SAR,nnpu,GCNConv,1.75,0.5857405574728612,0.001713863
cora,SAR,imbnnpu,MLP,1.75,0.5823934801228557,0.023515226
cora,SAR,imbnnpu,GATConv,1.75,0.8212847642442572,0.007679106
cora,SAR,imbnnpu,GCNConv,1.75,0.8366043158955024,0.017483059100470648
cora,SAR,ours,GCNConv,1.75,0.7743038822754156,0.014861828510405885
cora,SAR,NNIF,MLP,2,0.53474121,0.01720416
cora,SAR,two_nnif,MLP,2,0.531203039,0.017573442
cora,SAR,two_nnif,GATConv,2,0.721966957,0.007831441
cora,SAR,two_nnif,GCNConv,2,0.759003835,0.011322833
cora,SAR,nnpu,MLP,2,0.456057259,0.006633901
cora,SAR,nnpu,GATConv,2,0.484716976,0.006108904
cora,SAR,nnpu,GCNConv,2,0.484894678,0.023915562
cora,SAR,imbnnpu,MLP,2,0.582732556,0.022433771
cora,SAR,imbnnpu,GATConv,2,0.820412164,0.008805449
cora,SAR,imbnnpu,GCNConv,2,0.837434289,0.016998336
cora,SAR,ours,GCNConv,2,0.732442457,0.019050018
