dataset,mechanism,methodology,model_type,train_pct,avg_f1,std_f1
pubmed,SCAR,imbnnpu,GATConv,0.2,0.7427381439836737,0.00846713
pubmed,SCAR,imbnnpu,GCNConv,0.2,0.7567573238353166,0.012044901740041811
pubmed,SAR,naive,MLP,0.4,0.13534303896555086,0.096159338
pubmed,SAR,naive,GATConv,0.4,0.13676655837399368,0.009253426
pubmed,SAR,naive,GCNConv,0.4,0,0
pubmed,SAR,naive,MLP,0.3,0.015909493,0.022499420295842065
pubmed,SAR,naive,GATConv,0.3,0.039774006454491515,0.002422521
pubmed,SAR,naive,GCNConv,0.3,0,0
pubmed,SAR,naive,MLP,0.2,0.005766106,0.008154505
pubmed,SAR,naive,GATConv,0.2,0.011667038520143502,0.002763256
pubmed,SAR,naive,GCNConv,0.2,0,0
pubmed,SAR,spy,MLP,0.4,0.7437138409613696,0.002395047
pubmed,SAR,spy,GATConv,0.4,0.7903651839351893,0.002162697
pubmed,SAR,spy,GCNConv,0.4,0.7945238220581906,0.002764719
pubmed,SAR,spy,MLP,0.3,0.7552475833780202,0.003237791
pubmed,SAR,spy,GATConv,0.3,0.7993669492841832,0.002229146
pubmed,SAR,spy,GCNConv,0.3,0.799777031,0.001522134
pubmed,SAR,spy,MLP,0.2,0.7627430694362346,7.537399434955465e-05
pubmed,SAR,spy,GATConv,0.2,0.7871959912064891,0.00658377
pubmed,SAR,spy,GCNConv,0.2,0.7762166091139454,0.017261589
pubmed,SAR,nnpu,MLP,0.4,0.5573216464636447,0.037319790257128144
pubmed,SAR,nnpu,GATConv,0.4,0.6282561222507083,0.011718314824498203
pubmed,SAR,nnpu,GCNConv,0.4,0.623133323,0.007867595
pubmed,SAR,nnpu,MLP,0.3,0.5531745681350969,0.03250501
pubmed,SAR,nnpu,GATConv,0.3,0.6361568475883327,0.0092547
pubmed,SAR,nnpu,GCNConv,0.3,0.6329321100733596,0.009636004
pubmed,SAR,nnpu,MLP,0.2,0.5497015107281439,0.036378325
pubmed,SAR,nnpu,GATConv,0.2,0.6423092620841515,0.005128979
pubmed,SAR,nnpu,GCNConv,0.2,0.6317068936543504,0.015573398
pubmed,SAR,imbnnpu,MLP,0.4,0.6610446204295185,0.008282789
pubmed,SAR,imbnnpu,GATConv,0.4,0.704905246,0.003567581
pubmed,SAR,imbnnpu,GCNConv,0.4,0.7166402736374379,0.004177567
pubmed,SAR,imbnnpu,MLP,0.3,0.677590182,0.012972392578126445
pubmed,SAR,imbnnpu,GATConv,0.3,0.7170866591230761,0.000919165
pubmed,SAR,imbnnpu,GCNConv,0.3,0.7349767842935346,0.002813082
pubmed,SAR,imbnnpu,MLP,0.2,0.6933774537270415,0.013740832
pubmed,SAR,imbnnpu,GATConv,0.2,0.7273967818900058,0.004624672
pubmed,SAR,imbnnpu,GCNConv,0.2,0.7480965578310039,0.001015214
wiki-cs,SCAR,naive,MLP,0.4,0.091068784,0.006399159
wiki-cs,SCAR,naive,GATConv,0.4,0.22335433867219032,0.018877079705590386
wiki-cs,SCAR,naive,GCNConv,0.4,0.22525820158013632,0.032549558
wiki-cs,SCAR,naive,MLP,0.3,0.040959319,0.007986571
wiki-cs,SCAR,naive,GATConv,0.3,0.053160503421621846,0.011298852259192645
wiki-cs,SCAR,naive,GCNConv,0.3,0.051885805,0.003766975
wiki-cs,SCAR,naive,MLP,0.2,0.011119453797669607,0.002602926
wiki-cs,SCAR,naive,GATConv,0.2,0.014194686,0.000862506
wiki-cs,SCAR,naive,GCNConv,0.2,0.008973971,0.000873174
wiki-cs,SCAR,spy,MLP,0.4,0.6966679953836334,0.034800024
wiki-cs,SCAR,spy,GATConv,0.4,0.794052779,0.017991929004342298
wiki-cs,SCAR,spy,GCNConv,0.4,0.7927775100795631,0.021861199298049448
wiki-cs,SCAR,spy,MLP,0.3,0.739242477,0.008419654
wiki-cs,SCAR,spy,GATConv,0.3,0.8066769737543864,0.010953008215431624
wiki-cs,SCAR,spy,GCNConv,0.3,0.8123859724603606,0.010688897497847082
wiki-cs,SCAR,spy,MLP,0.2,0.7477030328579398,0.005112911
wiki-cs,SCAR,spy,GATConv,0.2,0.8033577654321652,0.023915848481653318
wiki-cs,SCAR,spy,GCNConv,0.2,0.8087770444251828,0.017068755
wiki-cs,SCAR,nnpu,MLP,0.4,0.7636434053785205,0.000924443
wiki-cs,SCAR,nnpu,GATConv,0.4,0.7086911450505448,0.096198169
wiki-cs,SCAR,nnpu,GCNConv,0.4,0.8136883674640739,0.003188337
wiki-cs,SCAR,nnpu,MLP,0.3,0.7948608582720307,0.002490038
wiki-cs,SCAR,nnpu,GATConv,0.3,0.7391019398828838,0.096217319
wiki-cs,SCAR,nnpu,GCNConv,0.3,0.8414691,0.002939692
wiki-cs,SCAR,nnpu,MLP,0.2,0.8100115350744036,0.002411697
wiki-cs,SCAR,nnpu,GATConv,0.2,0.7501342562838257,0.10437409580177984
wiki-cs,SCAR,nnpu,GCNConv,0.2,0.864373704,0.005361863
wiki-cs,SCAR,imbnnpu,MLP,0.4,0.7762885630748131,0.002666845
wiki-cs,SCAR,imbnnpu,GATConv,0.4,0.7668634724509023,0.016008777161058203
